tasker_id,membership_type,registration_date,expiry_date,membership_fee
24,Monthly,2022-11-15 15:02:25,2023-09-11 15:02:25,500
2,Monthly,2023-11-09 19:36:11,2024-02-07 19:36:11,150
37,Monthly,2022-06-08 22:17:31,2023-01-04 22:17:31,350
29,Monthly,2022-07-12 13:15:35,2023-05-08 13:15:35,500
15,Monthly,2023-05-07 11:58:15,2024-01-02 11:58:15,400
43,Monthly,2023-06-15 14:15:30,2023-12-12 14:15:30,300
17,Monthly,2024-08-03 05:47:08,2024-12-01 05:47:08,200
16,Monthly,2023-03-11 02:23:45,2023-12-06 02:23:45,450
32,Monthly,2022-09-13 08:56:16,2023-05-11 08:56:16,400
10,Monthly,2022-12-12 00:16:33,2023-02-10 00:16:33,100
45,Monthly,2023-09-06 23:19:07,2023-12-05 23:19:07,150
34,Monthly,2023-02-11 17:23:24,2023-07-11 17:23:24,250
20,Monthly,2023-04-08 15:12:31,2024-02-02 15:12:31,500
50,Monthly,2023-03-07 18:53:44,2023-04-06 18:53:44,50
52,Monthly,2024-10-10 08:28:25,2024-12-09 08:28:25,100
55,Monthly,2024-03-07 19:49:01,2024-10-03 19:49:01,350
57,Monthly,2023-02-08 06:24:56,2023-07-08 06:24:56,250
70,Monthly,2024-03-08 00:35:20,2024-10-04 00:35:20,350
80,Monthly,2024-04-08 23:07:09,2024-12-04 23:07:09,400
85,Yearly,2022-05-08 10:42:54,2023-05-08 10:42:54,500
81,Yearly,2022-11-11 02:37:46,2023-11-11 02:37:46,500
99,Yearly,2023-04-07 15:07:04,2024-04-06 15:07:04,500
87,Yearly,2022-09-12 04:18:33,2023-09-12 04:18:33,500
83,Yearly,2022-09-11 06:30:16,2023-09-11 06:30:16,500
100,Yearly,2023-04-02 05:22:26,2024-04-01 05:22:26,500
91,Yearly,2022-09-12 06:11:53,2023-09-12 06:11:53,500
86,Yearly,2022-02-10 20:02:27,2023-02-10 20:02:27,500
98,Yearly,2023-09-02 23:23:52,2024-09-01 23:23:52,500
93,Yearly,2022-12-11 12:53:02,2023-12-11 12:53:02,500
80,Yearly,2022-03-06 08:18:24,2023-03-06 08:18:24,500
97,Yearly,2022-04-05 19:10:29,2023-04-05 19:10:29,500
84,Yearly,2023-08-04 03:56:08,2024-08-03 03:56:08,500
